id,dpa_month,dpa_year,region_id,division_id,position_category,item_status,item_number,position_title,sg,year_created,years_unfilled,vacancy_aging_status,position_status,name_of_incumbent,first_day_of_service,date_of_vacancy,reason_for_vacancy,status_of_vacancy,other_remarks,tentative_date_to_fill_up,is_audited,created_at,updated_at
774f1747-5678-415f-b70a-ec5473f57182,8,2026,National Capital Region (NCR),Regional Office - Proper,Teaching-Related,CTI,OSEC-DECSB-EPSVR-30160-2010,Education Program Supervisor,22,2010,0,New Vacancy,UNFILLED,,,,,,,,false,,
329e721a-b96b-4615-9598-7fe0597d29ef,8,2026,National Capital Region (NCR),Regional Office - Proper,Teaching-Related,Regular,OSEC-DECSB-EPSVR-30162-2010,Education Program Supervisor,22,2010,3,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
2fde0e28-dd2b-4305-899e-6716171829ac,8,2026,National Capital Region (NCR),Regional Office - Proper,Teaching-Related,CTI,OSEC-DECSB-EPS2-30002-1998,Education Program Specialist II,16,1998,0,New Vacancy,UNFILLED,,,,,,,,false,,
0b476b61-68c8-4524-8f6c-8a565356a508,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,Regular,OSEC-DECSB-SADOF-30032-2015,Supervising Administrative Officer,22,2015,0,New Vacancy,UNFILLED,,,,,,,,false,,
f6fdfcbf-e9bc-425e-ba30-4c1c2aae6961,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,CTI,OSEC-DECSB-ATY2-30097-2010,Attorney II,18,2010,4,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
1207f3ad-9fd7-40a3-86c6-9d2e6628fa5a,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,Regular,OSEC-DECSB-ADA6-30103-2004,Administrative Aide VI,6,2004,3,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
abfc7197-a0b4-4782-b8f3-50cf23d840ae,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,Regular,OSEC-DECSB-ADA6-30105-2004,Administrative Aide VI,6,2004,0,New Vacancy,UNFILLED,,,,,,,,false,,
f9ddaeb9-bb1b-46be-bea8-34e0bbc87a14,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,CTI,OSEC-DECSB-ADA6-30110-2004,Administrative Aide VI,6,2004,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
f59d74c8-30c3-4cf3-a6d7-4347be0b457b,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,CTI,OSEC-DECSB-SECG2-30001-1998,Security Guard II,5,1998,4,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
1388a138-2416-4ee5-a3e2-e47943a860e7,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,CTI,OSEC-DECSB-ADA3-30232-2004,Administrative Aide III,3,2004,4,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
db161b16-4cfb-4e80-9999-0e62a5f8e250,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,CTI,OSEC-DECSB-ADA3-30234-2004,Administrative Aide III,3,2004,4,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
c1262295-7c1d-4fc3-895f-ee6ef87f9a1e,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,Regular,OSEC-DECSB-ADOF5-30016-2004,Administrative Officer V,18,2004,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
486ffe05-254f-480f-8385-36a6a2dc465e,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,Regular,OSEC-DECSB-A2-30001-1998,Accountant II,16,1998,0,New Vacancy,UNFILLED,,,,,,,,false,,
2c49a17e-8f12-429d-aed6-a857a42d29e6,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,Regular,OSEC-DECSB-A2-30030-2015,Accountant II,16,2015,1,Aging Vacancy,UNFILLED,,,,,,,,false,,
bd6d3d24-f1c2-49b9-82bd-e1aa8dea5e63,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,Regular,OSEC-DECSB-A1-30029-2015,Accountant I,12,2015,4,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
04443656-ae4d-4758-95ee-914757f3af7f,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching-Related,Regular,OSEC-DECSB-SP2-30025-2010,School Principal II,20,2010,0,New Vacancy,UNFILLED,,,,,,,,false,,
01fe916f-d35a-41db-9e87-84bc1572f555,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-MTCHR2-30020-2002,Master Teacher II,19,2002,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
0592f0a2-a5f7-453f-a7ee-71f2f2b7d2fa,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-MTCHR2-30024-2010,Master Teacher II,19,2010,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
c88489fc-f081-4a32-9836-deed6c62909a,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-MTCHR2-30027-2006,Master Teacher II,19,2006,3,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
0bba2301-27e4-4be9-ab5c-9d70f087a976,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-MTCHR2-30028-2005,Master Teacher II,19,2005,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
579a5a0a-6c84-4e47-86f0-72e1ec453204,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-MTCHR2-30028-2006,Master Teacher II,19,2006,3,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
6a29bda2-0ec7-4db7-ac6e-68741bb8ea65,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-MTCHR2-30032-2006,Master Teacher II,19,2006,1,Aging Vacancy,UNFILLED,,,,,,,,false,,
602f7f54-017e-4052-9a4c-5ef035f65950,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-MTCHR2-30043-2010,Master Teacher II,19,2010,3,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
9f30c5a1-1c92-4d06-96c6-1d3780d0cf52,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-MTCHR2-30201-1998,Master Teacher II,19,1998,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
e4434646-eba8-4382-8693-37891dd3ce8c,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-MTCHR2-30205-1998,Master Teacher II,19,1998,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
1204d4da-a932-4653-8fcf-a9e0fcf19a02,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-MTCHR2-30207-1998,Master Teacher II,19,1998,3,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
4df362d9-7732-4caf-8139-759b145fcf6d,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-MTCHR2-30228-1998,Master Teacher II,19,1998,3,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
a2840a5f-3ca0-4306-8c24-45d8e39b7815,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-MTCHR2-30245-1998,Master Teacher II,19,1998,0,New Vacancy,UNFILLED,,,,,,,,false,,
36475177-5d58-4031-b768-329d26268047,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-MTCHR2-30247-1998,Master Teacher II,19,1998,0,New Vacancy,UNFILLED,,,,,,,,false,,
ffb822a8-d42a-473e-bff9-e0743ac31b71,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-MTCHR2-30866-1998,Master Teacher II,19,1998,3,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
a0d1650a-bd46-4689-94b1-b9cf7407d891,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching-Related,Regular,OSEC-DECSB-SP1-30010-2010,School Principal I,19,2010,0,New Vacancy,UNFILLED,,,,,,,,false,,
8b056f13-b8d9-4d95-8b3b-d74379d8265e,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-MTCHR1-30070-2006,Master Teacher I,18,2006,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
bfdb95c9-1145-4e15-859b-62bd790e696e,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-SPET3-30011-2016,Special Education Teacher III,16,2016,0,New Vacancy,UNFILLED,,,,,,,,false,,
41be1073-6d84-4e06-a8ca-4bfd1e69f12a,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching-Related,Regular,OSEC-DECSB-HTEACH2-30639-2021,Head Teacher II,15,2021,3,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
7d93c14e-d6a3-47cb-8d18-b5c92e78858a,8,2026,National Capital Region (NCR),Division of Caloocan,Non-Teaching,Regular,OSEC-DECSB-PLO2-30001-1999,Planning Officer II,15,1999,4,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
f9652e01-b6f0-4c17-8e62-e9c75372b8bd,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH4-30052-2026,Teacher IV,14,2026,0,Newly Created Item,UNFILLED,,,,,,,,false,,
f9ebeb52-4584-42a8-bd32-812bc4f32820,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH4-30053-2026,Teacher IV,14,2026,0,Newly Created Item,UNFILLED,,,,,,,,false,,
46666489-ef8b-4423-8dfe-db32f4663699,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching-Related,Regular,OSEC-DECSB-GUIDC3-30008-1998,Guidance Counselor III,13,1998,4,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
57f28989-48bd-4b92-ae60-8872cb481a23,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30032-2025,Teacher III,13,2025,0,New Vacancy,UNFILLED,,,,,,,,false,,
cd6ef488-469e-4767-81a4-6d4d5107643d,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30074-2025,Teacher III,13,2025,1,Aging Vacancy,UNFILLED,,,,,,,,false,,
4090bcf9-18e3-4792-a47f-4512e79ff786,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30075-2025,Teacher III,13,2025,1,Aging Vacancy,UNFILLED,,,,,,,,false,,
51ae0c34-51c4-4150-ac74-0aa03377e568,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30087-2018,Teacher III,13,2018,0,New Vacancy,UNFILLED,,,,,,,,false,,
0d46eab5-17a0-4b5b-a378-2d7b0a27f096,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30103-2018,Teacher III,13,2018,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
e5b513a5-92f7-448b-a38b-7a5b6e93a7cd,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30141-2018,Teacher III,13,2018,0,New Vacancy,UNFILLED,,,,,,,,false,,
8ca9ec97-db04-42c0-8f16-d4ee4e60af94,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30151-2020,Teacher III,13,2020,0,New Vacancy,UNFILLED,,,,,,,,false,,
2b09ed44-5b30-480a-8dc8-21c5f1ea6e26,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30157-2003,Teacher III,13,2003,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
2b2ef20e-574d-41a0-add7-16e8c6e95a00,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30164-2006,Teacher III,13,2006,0,New Vacancy,UNFILLED,,,,,,,,false,,
c2b38454-85f9-4bf6-b2e3-5fd004bb7390,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30281-2024,Teacher III,13,2024,0,New Vacancy,UNFILLED,,,,,,,,false,,
864601ec-4e3b-416e-a777-fa0629e82bc0,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30290-2025,Teacher III,13,2025,0,New Vacancy,UNFILLED,,,,,,,,false,,
ec42fe54-cf1b-4f2d-a7b5-8846c9559920,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30303-2015,Teacher III,13,2015,0,New Vacancy,UNFILLED,,,,,,,,false,,
df42d081-aafe-4d95-a0f8-2827489cf9f0,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30306-2022,Teacher III,13,2022,0,New Vacancy,UNFILLED,,,,,,,,false,,
e1a515e7-5276-4298-87e6-5458b24c0289,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30317-2018,Teacher III,13,2018,0,New Vacancy,UNFILLED,,,,,,,,false,,
066af5b3-22fd-44af-8a85-08407587bf65,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30324-2017,Teacher III,13,2017,0,New Vacancy,UNFILLED,,,,,,,,false,,
bbdc88f0-89ae-43b8-8af4-68162f4446b4,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30330-2017,Teacher III,13,2017,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
7f89deb0-fc17-4467-b33e-358bb23f5cac,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30343-1998,Teacher III,13,1998,3,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
5c993a47-39b8-4ac3-a353-8020e195a044,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30402-2024,Teacher III,13,2024,0,New Vacancy,UNFILLED,,,,,,,,false,,
5de66d2e-0c67-4236-8897-7656a9a0952e,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30500-2014,Teacher III,13,2014,0,New Vacancy,UNFILLED,,,,,,,,false,,
1d47262b-d218-4ce8-a192-d29a8a77999e,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30518-2014,Teacher III,13,2014,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
89b1d0d2-1034-4b03-aeee-4a2d78d07c79,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30521-2017,Teacher III,13,2017,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
e6876b2b-d1ba-467f-a42a-142f7b883f41,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30547-1998,Teacher III,13,1998,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
49dee58a-56bd-497e-9328-f4e873215435,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30586-1998,Teacher III,13,1998,0,New Vacancy,UNFILLED,,,,,,,,false,,
0865b665-b19e-470f-a3a1-dab75f4c806b,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30624-1998,Teacher III,13,1998,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
6aef0d7b-f773-49d9-aed5-d94cc1057d5d,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30805-2020,Teacher III,13,2020,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
db91d4fb-2aa2-40b5-a77b-c0bc90491013,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30896-2017,Teacher III,13,2017,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
6e6bf2cf-1c91-4b45-aa44-a1d702b7461a,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-30906-2023,Teacher III,13,2023,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
5e991288-bcb5-44c0-8305-30893fbaff2c,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-31037-2019,Teacher III,13,2019,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
a04cabee-fd22-4c01-985b-e1fefcd41525,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-31237-2024,Teacher III,13,2024,0,New Vacancy,UNFILLED,,,,,,,,false,,
2fca6f57-b271-4170-9e36-2a993d8ef09f,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-31405-2018,Teacher III,13,2018,0,New Vacancy,UNFILLED,,,,,,,,false,,
1f8c38ed-2753-4cc8-a121-dac729748fb9,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-31622-2022,Teacher III,13,2022,0,New Vacancy,UNFILLED,,,,,,,,false,,
48841087-b3eb-4a45-a392-5cbba8840557,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-31706-2023,Teacher III,13,2023,0,New Vacancy,UNFILLED,,,,,,,,false,,
27b60096-f5fe-476c-ad12-f8d29c6e5396,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH3-31750-2022,Teacher III,13,2022,0,New Vacancy,UNFILLED,,,,,,,,false,,
0920ba64-7e48-4e01-96f4-b7077da7072e,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30129-2022,Teacher II,12,2022,0,New Vacancy,UNFILLED,,,,,,,,false,,
d95e2e5c-302f-421f-9a7f-37afd0117bef,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30181-2014,Teacher II,12,2014,1,Aging Vacancy,UNFILLED,,,,,,,,false,,
acdf8689-f368-43ec-95a5-62558aebb3b8,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30194-2020,Teacher II,12,2020,1,Aging Vacancy,UNFILLED,,,,,,,,false,,
2d1a46a0-98dd-4496-b44b-cdd0acb13245,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30271-1998,Teacher II,12,1998,0,New Vacancy,UNFILLED,,,,,,,,false,,
8a36ee27-3b80-40b7-8768-044f206d7e5d,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30363-2017,Teacher II,12,2017,1,Aging Vacancy,UNFILLED,,,,,,,,false,,
6ab0037f-56e0-4889-a63d-ae3fbb7db61c,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30374-2019,Teacher II,12,2019,0,New Vacancy,UNFILLED,,,,,,,,false,,
d9072767-d269-4f47-8253-d83308c37a15,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30379-1998,Teacher II,12,1998,0,New Vacancy,UNFILLED,,,,,,,,false,,
d5a35965-9ff6-454c-b54c-eb3e0b4820fa,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30387-2017,Teacher II,12,2017,1,Aging Vacancy,UNFILLED,,,,,,,,false,,
a3289bcd-b812-4e6e-8184-22d51cf30ceb,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30391-2017,Teacher II,12,2017,1,Aging Vacancy,UNFILLED,,,,,,,,false,,
2f25860e-6fee-4bb8-9a15-54d0c19cd6b8,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30394-2017,Teacher II,12,2017,1,Aging Vacancy,UNFILLED,,,,,,,,false,,
a2fe9ce8-4e5a-4d66-8945-49b874898567,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30400-2015,Teacher II,12,2015,1,Aging Vacancy,UNFILLED,,,,,,,,false,,
5414a711-b31c-4e6e-b61b-b8bda99428e4,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30402-1998,Teacher II,12,1998,0,New Vacancy,UNFILLED,,,,,,,,false,,
ac5c6be3-2cb6-4252-859f-cc0c2aa44058,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30528-1998,Teacher II,12,1998,3,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
6355741f-9d00-4aa7-9e62-a4cf976908c4,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30531-2011,Teacher II,12,2011,0,New Vacancy,UNFILLED,,,,,,,,false,,
57eb807a-2f6a-43ca-819b-5010f1a26306,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30699-2019,Teacher II,12,2019,0,New Vacancy,UNFILLED,,,,,,,,false,,
de514a69-0e9a-4fd7-ae0a-90647ff8fcea,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30713-2015,Teacher II,12,2015,0,New Vacancy,UNFILLED,,,,,,,,false,,
3264bb40-96b3-49bf-aa14-c1fd5387e808,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30868-2019,Teacher II,12,2019,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
eed6bf20-fb80-42c4-a38c-7c0105b12d89,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30939-2022,Teacher II,12,2022,0,New Vacancy,UNFILLED,,,,,,,,false,,
7bda4876-acb3-4772-b426-0f5f44d463ad,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-30974-2017,Teacher II,12,2017,0,New Vacancy,UNFILLED,,,,,,,,false,,
66ef90df-c9e1-4be8-8f61-00d4cfd25792,8,2026,National Capital Region (NCR),Division of Caloocan,Teaching,Regular,OSEC-DECSB-TCH2-31352-2018,Teacher II,12,2018,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
fb280e2a-bbd4-4d73-a531-0a253a9f408a,8,2026,National Capital Region (NCR),Division of Caloocan,Non-Teaching,Regular,OSEC-DECSB-ADOF2-30001-2026,Administrative Officer II,11,2026,0,Newly Created Item,UNFILLED,,,,,,,,false,,
5d7e2eae-c58a-479b-bb43-3996794d3482,8,2026,National Capital Region (NCR),Division of Caloocan,Non-Teaching,Regular,OSEC-DECSB-PDO1-30002-2026,Project Development Officer I,11,2026,0,Newly Created Item,UNFILLED,,,,,,,,false,,
3589286b-a5b5-4880-8a2c-1ea44238b53c,8,2026,National Capital Region (NCR),Division of Caloocan,Non-Teaching,Regular,OSEC-DECSB-PDO1-30003-2026,Project Development Officer I,11,2026,0,Newly Created Item,UNFILLED,,,,,,,,false,,
c858ccbb-603b-4710-957a-c851287251a5,8,2026,National Capital Region (NCR),Division of Caloocan,Non-Teaching,Regular,OSEC-DECSB-PDO1-30004-2026,Project Development Officer I,11,2026,0,Newly Created Item,UNFILLED,,,,,,,,false,,
2fd029bd-f4be-43db-925d-78fb575d9579,8,2026,National Capital Region (NCR),Division of Caloocan,Non-Teaching,Regular,OSEC-DECSB-PDO1-30005-2026,Project Development Officer I,11,2026,0,Newly Created Item,UNFILLED,,,,,,,,false,,
0aaa2156-47a1-4b50-8027-674ba5a30bdb,8,2026,National Capital Region (NCR),Division of Caloocan,Non-Teaching,Regular,OSEC-DECSB-PDO1-30006-2026,Project Development Officer I,11,2026,0,Newly Created Item,UNFILLED,,,,,,,,false,,
3660e193-1c3f-4f0b-8c49-41ab1bf26f6e,8,2026,National Capital Region (NCR),Division of Caloocan,Non-Teaching,Regular,OSEC-DECSB-PDO1-30007-2026,Project Development Officer I,11,2026,0,Newly Created Item,UNFILLED,,,,,,,,false,,
55a2f5c8-df37-45e6-b506-5f35b77b80db,8,2026,National Capital Region (NCR),Division of Caloocan,Non-Teaching,Regular,OSEC-DECSB-PDO1-30008-2026,Project Development Officer I,11,2026,0,Newly Created Item,UNFILLED,,,,,,,,false,,
81ce73bb-3576-4584-a113-1bb20e85bc44,8,2026,National Capital Region (NCR),Division of Caloocan,Non-Teaching,Regular,OSEC-DECSB-PDO1-30009-2026,Project Development Officer I,11,2026,0,Newly Created Item,UNFILLED,,,,,,,,false,,
